#Frame        phi:121      psi:121
       1    -105.4770     -13.6449
       2     -91.0898     -21.2753
       3     -99.4540       2.8110
       4     -86.8043      -9.2239
       5     -79.9659     -17.3391
       6    -106.2577      -9.7946
       7     -84.8627     -23.9036
       8    -120.3389     -14.7610
       9    -121.0296      -7.7819
      10    -105.3394     -19.4487
      11     -99.6171     -15.8832
      12    -112.7056     -13.9650
      13     -94.2853     -24.8738
      14     -89.2816      -9.0917
      15    -124.7790      -8.4918
      16    -105.5869     -24.0228
      17    -110.3849     -17.2216
      18    -113.9343      -7.7048
      19    -106.5228      12.4799
      20    -108.8247     -19.4495
      21    -121.2313     -20.1978
      22    -122.4174      -3.5767
      23     -94.6388      -5.9939
      24     -91.5941     -31.8417
      25     -93.5569     -16.6700
      26    -124.6441     -13.9014
      27    -117.0725      -3.3189
      28    -113.5665     -25.7107
      29    -118.3352      -8.9092
      30    -115.4206     -18.3882
      31    -128.5771      -6.0338
      32    -126.8854      -8.7376
      33    -132.5693     -24.6022
      34    -130.5724     -27.6985
      35    -118.4377     -15.2401
      36    -143.9763     -19.6575
      37    -117.5690      -5.5066
      38    -122.2591     -27.5500
      39    -137.5695     -12.2345
      40    -133.3371     -27.2349
      41    -137.0745     -23.7993
      42    -128.8038     -30.7348
      43    -122.5116     -10.1023
      44    -124.9197     -29.8850
      45     -93.7176     -14.3286
      46    -117.8857     -15.1986
      47     -93.2396     -14.7278
      48    -102.0904     -24.7380
      49    -120.4413     -22.4146
      50    -101.0195     -14.8192
      51    -106.2108     -10.5147
      52    -114.7197     -16.3307
      53    -109.8863       0.0019
      54    -101.1628     -11.6002
      55    -112.8135       2.8370
      56    -111.3833      -9.0462
      57    -115.6832     -20.6188
      58    -101.9319     -43.3143
      59    -115.2082     -15.5833
      60    -108.6320     -19.7227
      61    -119.1707     -22.3212
      62    -119.6664      -9.6739
      63     -96.5704      -6.2640
      64    -100.0878     -14.3334
      65    -136.5003      13.3189
      66    -119.4085     -18.8827
      67     -98.8078     -14.8810
      68    -102.1833      -9.8024
      69     -96.7628     -20.9989
      70     -88.4617     -19.0210
      71    -125.3349     -16.3472
      72     -90.7572     -25.0123
      73    -111.5325      -1.2216
      74    -116.1241     -14.5138
      75    -112.7721     -11.0532
      76    -101.8306     -29.5982
      77    -119.5605      -5.3288
      78    -111.7787      -3.1231
      79    -118.8952      -7.4759
      80    -122.4973      -7.7902
      81    -105.6669     -22.3330
      82    -114.5014      -9.2872
      83    -102.0311     -13.3734
      84    -101.1977     -11.1584
      85     -91.8599     -22.8165
      86    -115.7003     -32.0098
      87    -118.2442     -13.9706
      88    -109.7944     -17.0631
      89    -114.4045     -20.1762
      90     -93.1905     -19.8147
      91    -100.1944      -8.5336
      92    -125.0906       0.1501
      93    -108.9722     -17.6291
      94    -112.5032      -9.4252
      95    -109.8408      -6.7279
      96    -112.5750     -21.6143
      97    -107.1765     -17.7470
      98    -112.9054      -8.8677
      99    -105.3832      -6.1597
     100    -129.2069      -3.7517
     101    -116.7835     -16.0107
     102    -128.5480     -14.4414
     103    -123.8153      -5.9067
     104    -106.4429     -34.9235
     105    -104.2861      -9.4373
     106     -95.4846     -13.8720
     107    -113.9343     -10.4094
     108    -100.8290     -19.9357
     109     -95.4386     -28.6549
     110    -111.0278     -16.1922
     111     -88.1871       4.6045
     112    -103.0391      -6.7418
     113     -83.1801      -9.4153
     114     -84.3203       3.9815
     115    -106.8843      -0.2924
     116     -99.4528     -12.4954
     117    -118.5719      -3.1597
     118     -87.7416     -15.1956
     119    -119.6788      -5.2462
     120    -105.8362      -0.0608
     121     -91.7991       1.0919
     122    -118.1604      -3.6505
     123    -106.1820      -3.3343
     124    -100.9153     -15.7936
     125    -128.8453     -28.4458
     126    -113.5356      -9.0877
     127     -95.2758      -9.5502
     128    -110.2158       6.3087
     129    -112.3793       9.9532
     130    -122.9393       0.4562
     131     -87.1652     -12.8955
     132    -101.6244     -11.6905
     133    -100.9283     -13.1646
     134    -114.6098      -4.2080
     135    -103.6005      -9.6153
     136    -109.7927       4.0187
     137    -110.4375     -12.7908
     138    -105.6430     -15.4326
     139    -112.2660      -3.4453
     140     -92.4146       2.4609
     141    -103.1057     -18.2028
     142    -127.5476      -0.4736
     143     -84.5052     -13.2214
     144     -77.5791     -31.6044
     145     -84.8908      -7.3056
     146    -113.3697      -3.7464
     147    -126.5793       3.8339
     148     -89.7668      -7.4013
     149    -108.4654     -14.0871
     150    -109.0613      -0.3694
     151    -121.5008      -8.9679
     152     -96.2391      -5.1436
     153    -121.6800     -10.5559
     154    -109.6794      -6.1818
     155     -99.2558      -9.2578
     156    -101.5424     -13.9909
     157    -113.2248     -15.7253
     158    -108.1400     -20.0352
     159     -92.3844      11.6335
     160    -124.6141     -11.3833
     161    -129.1402      -6.4889
     162    -122.8118       3.5299
     163     -95.3772      -6.2378
     164    -127.3683       3.7441
     165    -120.1096       3.0535
     166    -134.0574       7.6613
     167    -127.0589      -5.3383
     168    -121.5103      13.6880
     169    -138.3218       0.4205
     170    -135.0311      16.1425
     171    -112.4832       9.4197
     172    -114.6368      -2.1688
     173    -127.3353       6.9453
     174    -123.3747      12.5546
     175    -122.9632      -1.7132
     176    -116.8801      -1.9880
     177    -114.1302       0.3678
     178    -127.5776       2.2827
     179    -134.9046     -10.3743
     180    -122.9666      -5.7495
     181     -87.1724      -2.6921
     182     -95.7979      -7.2563
     183    -103.6306       9.8469
     184     -86.6287     -17.2869
     185     -99.1928      -4.7519
     186    -100.6854     -13.7731
     187    -115.9773       2.9897
     188    -139.7197     -12.6288
     189    -111.7284     -21.5719
     190    -112.6888     -10.0267
     191    -119.5172       2.0553
     192    -114.3296      -9.6144
     193    -126.2129     -12.9673
     194     -85.3561     -14.3372
     195    -118.7887     -12.6729
     196    -103.1244      -6.9188
     197    -105.4601     -12.6128
     198     -90.3168       3.0524
     199     -95.6503     -15.5244
     200    -100.7952      -1.5836
     201    -109.1665      15.0047
     202     -97.9775     -14.4967
     203    -100.6649      -0.9745
     204    -107.5475     -10.9102
     205    -105.6536     -10.9776
     206    -118.7184       0.1464
     207     -93.8133       3.0069
     208     -82.4464     -11.5074
     209    -106.6438      -8.5777
     210    -104.9261     -11.9628
     211    -113.5024       5.1915
     212    -106.3696     -14.6347
     213    -102.5235      -2.7943
     214     -95.2221      -6.3617
     215    -100.0513      -3.5820
     216     -99.6880      -8.1289
     217    -109.0082       3.1929
     218    -104.6360      -6.4465
     219    -104.3023     -15.6671
